"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","test_login_success[chromium-admin-admin]","tests","Tue Nov 05 07:31:03 GMT 2024","passed","Tue Nov 05 07:31:03 GMT 2024","","test_login","",""
"Тест аутентификации в системе с некорректными данными пользователя","202","Некорректные данные","tests","Tue Nov 05 07:31:02 GMT 2024","passed","Tue Nov 05 07:31:03 GMT 2024","","test_login","",""
"","312","test_login_success[chromium-user-user]","tests","Tue Nov 05 07:31:03 GMT 2024","passed","Tue Nov 05 07:31:03 GMT 2024","","test_login","",""
